,Date,Price
1,"Jun 7, 2020","[20, 20]"
2,"Jun 1, 2020","[20, 20]"
3,"May 17, 2020","[20, 20]"
4,"Jun 5, 2020","[20, 20]"
5,"Sep 26, 2019","[30, 30]"
6,"Jun 14, 2020","[10, 10]"
7,"Mar 25, 2020","[30, 30]"
9,"Jun 23, 2019","[5, 10]"
10,"Jun 11, 2019","[20, 20]"
15,"Dec 8, 2019","[10, 10]"
16,"May 25, 2020","[20, 20]"
17,"Feb 29, 2020","[20, 20]"
18,"Aug 23, 2019","[20, 20]"
19,"Oct 12, 2019","[15, 15]"
20,"Jun 14, 2015","[15, 15]"
21,"May 1, 2019","[20, 20]"
22,"Sep 26, 2017","[35, 35]"
23,"Sep 27, 2019","[20, 20]"
25,"Jan 17, 2020","[10, 10]"
28,"Jun 25, 2018","[5, 5]"
33,"Jan 4, 2019","[15, 15]"
34,"Apr 30, 2020","[5, 5]"
36,"Jun 14, 2020","[10, 10]"
37,"Sep 26, 2019","[20, 20]"
38,"Oct 1, 2019","[15, 15]"
41,"Jun 11, 2019","[20, 20]"
44,"Jul 3, 2019","[20, 20]"
47,"May 23, 2020","[20, 20]"
51,"Apr 1, 2019","[5, 5]"
53,"Aug 22, 2020","[20, 20]"
54,"Apr 9, 2019","[25, 25]"
56,"Jul 23, 2019","[5, 20]"
